@RELATION safe-tweets

@ATTRIBUTE hasUrl 	 NUMERIC 
@ATTRIBUTE verifiedUser 	 NUMERIC 
@ATTRIBUTE Mentions 	 NUMERIC 
@ATTRIBUTE Emphasis 	 NUMERIC 
@ATTRIBUTE Retweet 	 NUMERIC 
@ATTRIBUTE Profanity 	 NUMERIC 
@ATTRIBUTE Explicit 	 NUMERIC 
@ATTRIBUTE HateSpeech 	 NUMERIC 
@ATTRIBUTE class 	{Positive, Negative}

@DATA
Poor u sitting there n creating imaginary people :P,0,0,1,2,0,0,0,0
: @bedazzledknight :D Sometimes keeping a low profile helps,0,0,1,0,0,0,0,0
: @bedazzledknight Yea! Like I said, nobody really noticed :P,0,0,1,0,0,0,0,0
: @shamilcm nice :),0,0,1,0,0,0,0,0
: RT @funnyoneliners: When choosing a path in life, try to avoid the psychopaths.
RT @avi1111,0,0,1,0,1,0,0,0
: @pranavashok totally awesome!! :D,0,0,1,0,0,0,0,0
: RT @pranavashok: Have 2 see 2 believe YouTube #epicness. Jack Black gets his Kung Fu Panda 2 on! http://t.co/HmCAFS8,1,0,1,1,1,0,0,0
: RT @Disney: Integrity can be found in the smallest of gestures. http://di.sn/4j #Aladdin,0,0,1,1,1,0,0,0
: RT @priyankachopra: Oh my god! What a show of class Team India! The world cup awaits you in Mumbai! Can you hear the unified sound of pu ...,0,0,1,0,1,0,0,0
: Join me at the Firefox 4 Twitter Party and celebrate the newest version #fx4 #teamfirefox http://t.co/qvUB9lG via @firefox,1,0,1,1,0,0,0,0
: RT @ShashiTharoor: At gym today,watched a bit of doughty Somdev holding his own vs Nadal. Defeat 7-5 6-4 no disgrace. He's a battler all ...,0,0,1,0,1,0,0,0
: http://www.google.com/crisisresponse/japanquake2011.html Japan quake,0,0,0,1,0,0,0,0
